symbol,entry_date,exit_date,exit_reason,call_strike,put_strike,entry_premium_per_share,exit_premium_per_share,lot_size,margin,premium_collected,entry_costs,exit_costs,gross_pnl,net_pnl,score,grade,breached
AARTIIND,2023-02-24,2023-03-17,target,600.0,480.0,8.4,1.35,1400,113211.0,11760.0,242.726464,188.44059599999997,9870.000000000002,9438.832940000002,82.80675285569859,A,False
BEL,2023-02-24,2023-03-27,target,105.0,88.0,1.35,0.2,7825,126373.75000000003,10563.75,846.880883,830.727266,8998.750000000002,7321.141851000002,86.52418163173638,B,False
TATASTEEL,2023-05-26,2023-05-29,target,123.0,94.0,1.8,0.35,7000,112560.0,12600.0,767.69264,748.80818,10150.000000000002,8633.499180000003,85.35553218844532,A,False
ZEEL,2023-05-26,2023-06-27,time,222.5,170.0,3.95,0.8,3900,112524.75,15405.0,462.254692,439.247968,12285.000000000002,11383.497340000002,88.83244678020654,B,False
IEX,2023-05-26,2023-06-27,time,175.0,142.5,1.9,14.75,4775,118181.25000000001,9072.5,539.455514,1385.0685724999998,-61358.75,-63283.2740865,87.6402553724036,A,True
CUB,2023-09-01,2023-09-22,target,140.0,113.0,1.95,0.25,5925,112471.3125,11553.75,658.491019,640.6722925,10072.5,8773.3366885,89.27034800788357,A,False
ADANIPORTS,2023-09-01,2023-09-22,target,900.0,720.0,13.8,1.65,925,111672.93750000003,12765.0,259.435996,140.7018305,11238.75,10838.6121735,85.94332688236298,B,False
CANBK,2023-09-01,2023-09-26,time,360.0,300.0,3.05,9.55,2275,121854.68750000006,6938.75,285.985183,499.3986105,-14787.500000000002,-15572.883793500003,87.95635495654815,A,True
MOTHERSON,2023-12-01,2023-12-22,target,103.0,85.0,1.3,0.2,8025,118770.00000000004,10432.5,866.667418,850.753522,8827.5,7110.07906,86.48724328194871,A,False
IDEA,2023-12-01,2023-12-26,time,17.0,11.0,0.25,0.1,56175,112490.4375,14043.75,5687.540755,5668.387327,8426.25,-2929.6780820000004,85.27325310479216,A,False
ABCAPITAL,2023-12-01,2023-12-26,target,190.0,155.0,2.05,0.39999999999999997,4400,118029.99999999997,9020.0,501.870128,488.355264,7260.0,6269.774608,85.22081372487725,A,False
FEDERALBNK,2024-03-01,2024-03-21,target,170.0,141.0,2.05,0.4,4875,125592.1875,9993.75,550.953835,535.97998,8043.75,6956.816185,86.98507940362518,B,False
HDFCLIFE,2024-03-01,2024-03-22,target,650.0,540.0,6.0,1.0,1275,120583.12500000003,7650.0,192.24196,175.53691,6375.0,6007.22113,87.77149634779494,A,False
CANBK,2024-08-30,2024-09-23,target,122.5,102.5,1.4500000000000002,0.2,6750,127254.375,9787.500000000002,738.1183900000001,723.08614,8437.500000000002,6976.295470000002,86.74525064117539,B,True
PETRONET,2024-08-30,2024-09-24,time,400.0,335.0,5.05,6.85,3000,178575.0,15150.0,371.83996,516.68902,-5399.999999999999,-6288.528979999999,87.35286635668992,A,True
GAIL,2024-11-29,2024-12-12,target,220.0,177.5,3.0,0.6,2350,70288.5,7050.0,293.66612,283.12552400000004,5640.0,5063.208356,90.67024770899309,A,False
BANKBARODA,2024-11-29,2024-12-20,target,267.5,225.0,3.05,0.5,2925,118462.50000000001,8921.25,354.209521,340.659985,7458.749999999999,6763.880493999999,88.70871262140172,A,False
ONGC,2024-11-29,2024-12-23,target,280.0,235.0,2.95,0.5,1925,81764.37500000003,5678.75,248.935919,240.331785,4716.25,4226.982296,90.01067580105709,A,False
ASHOKLEY,2025-02-28,2025-03-20,target,235.0,192.5,3.05,0.4,2500,81968.75000000004,7625.0,309.60130000000004,297.8564,6625.0,6017.5423,85.04379304933455,A,False
CHAMBLFERT,2025-02-28,2025-03-25,time,600.0,470.0,9.9,17.25,1900,152104.50000000003,18810.0,359.942584,653.9135100000001,-13965.0,-14978.856094,88.8493372146273,A,True
COALINDIA,2025-02-28,2025-03-25,time,400.0,335.0,4.3,2.65,1050,64771.87500000003,4515.0,159.543196,154.026433,1732.5,1418.930371,87.7893141310944,A,True
TATAPOWER,2025-05-30,2025-06-18,target,425.0,360.0,4.699999999999999,0.7,1450,95700.00000000001,6814.999999999999,203.283916,192.866246,5799.999999999999,5403.849837999999,87.57893948835492,A,False
VEDL,2025-05-30,2025-06-19,target,480.0,400.0,6.45,1.2,1150,84338.125,7417.5,180.588822,163.105832,6037.5,5693.805346,86.17477568115986,B,False
WIPRO,2025-05-30,2025-06-23,target,270.0,227.5,2.95,0.55,3000,126262.49999999996,8850.0,361.59364000000005,348.28306,7200.000000000001,6490.123300000001,91.54649566291425,A,False
WIPRO,2025-08-29,2025-09-22,target,270.0,227.5,2.5,0.5,3000,125287.5,7500.0,359.398,348.18460000000005,6000.0,5292.4174,87.08712696770203,A,False
ASHOKLEY,2025-08-29,2025-09-23,time,140.0,115.0,1.35,4.1,5000,98824.99999999999,6750.0,558.1782000000001,614.4062,-13749.999999999998,-14922.584399999998,87.77220852830158,A,True
YESBANK,2025-08-29,2025-09-23,time,22.0,17.0,0.2,0.2,31100,89101.50000000001,6220.0,3167.316208,3161.282808,0.0,-6328.599016,84.30249939551379,A,False
NBCC,2025-11-28,2025-12-19,target,130.0,103.0,1.9000000000000001,0.29,6500,113782.50000000003,12350.0,717.28604,698.437314,10465.0,9049.276646,86.81549216381275,A,False
